specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment ,QSO
J1555+3628_nbin3_norm.fits,1025.7222,0.10745999999999999,12.652000000000001,0.287,13.659,20.07,-5.067,11.342,2,2,2,-59.0752,59.0752,1135.7414979099094,1136.1457425297622,12,26,0.10744000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.10745999999999999,12.652000000000001,0.0,13.659,0.0,-5.067,0.0,2,2,2,-59.0752,59.0752,1346.0631609261652,1346.542265363035,7032,7048,0.10744000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,977.0201,0.57607,13.079,0.156,29.051,16.014,-0.735,10.431,2,2,2,-79.8286,79.8286,1539.5936476328477,1540.113968572708,12706,12720,0.57607,C III,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.004220000000000001,12.359000000000002,12.505999999999998,4.0,263.453,-5.768,177.74200000000005,2,2,2,-40.5821,40.5821,1220.6360273711666,1220.9651513380338,2847,2858,0.0042,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.087,7.141,8694.169,4.355,8694.168,-49.75,8694.169,2,2,2,-39.041,39.041,1321.2769466220086,1321.593572148792,6203,6214,0.08682000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.08746,13.135,0.365,42.773,41.358000000000004,9.264,25.521,3,3,3,-57.0205,57.0205,1321.7601837664506,1322.2226244275494,6219,6235,0.08749,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.08766,12.812999999999999,0.465,9.038,20.117,6.903,8.039,4,4,4,-63.6985,63.6985,1321.9755088164388,1322.4921085735616,6227,6244,0.08768,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.09300000000000001,13.117,1.6,4.2,10.738,5.311,4.16,2,2,2,-51.8835,51.8835,1328.5175525513241,1328.9383317454758,6445,6459,0.09302,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1031.9261,0.60268,14.530999999999999,0.071,43.85,8.262,-9.218,5.894,2,2,2,-100.3252,100.3252,1653.5070248692216,1654.1976906255145,15797,15816,0.60264,O VI,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1037.6167,0.60268,14.530999999999999,0.0,43.85,0.0,-9.218,0.0,2,2,2,-100.3252,100.3252,1662.6253590946285,1663.3198335563636,16045,16064,0.60264,O VI,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1393.7602,0.18898,13.642999999999999,0.08900000000000001,70.358,17.567,16.707,12.51,2,2,2,-113.2704,113.2704,1656.621269999417,1657.6744771175104,15882,15911,0.18904,SiIV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1402.7729,0.18898,13.642999999999999,0.0,70.358,0.0,16.707,0.0,2,2,2,-113.2704,113.2704,1667.3337516157846,1668.3937692596717,16174,16202,0.18904,SiIV,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.01144,13.408,16.301,4.0,38.647,0.43,10.163,2,2,2,-59.5889,59.5889,1229.3365777308175,1229.8198483143824,3138,3154,0.01144,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.34287,13.414000000000001,0.145,25.0,12.764000000000001,4.6530000000000005,8.282,2,2,2,-72.4314,72.4314,1377.1676999845843,1377.6633395043552,8072,8089,0.34289000000000003,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.34287,13.414000000000001,0.0,25.0,0.0,4.6530000000000005,0.0,2,2,2,-72.4314,72.4314,1632.1977411040334,1632.7851653549665,15217,15233,0.34289000000000003,H I,b,-- ,J1555+3628
